corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-hun	HU03130	HU03130	Eötvös József	A karthauzi	1813	1871	M	viaf:64044769	1842	1842	2005-09-21	1911	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	127812	NA	NA	long	high	T1
ELTeC-hun	HU19040	HU19040	Nagy Ignác	Torzképek	1810	1854	M	viaf:121393539	1844	1844	2019-01-31	1844	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	149986	NA	NA	long	low	T1
ELTeC-hun	HU00642	HU00642	Eötvös József	A falu jegyzője	1813	1871	M	viaf:64044769	1845	1845	2000-01-15	1971	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	206761	NA	NA	long	high	T1
ELTeC-hun	HU07551	HU07551	Nagy Ignác	Magyar titkok : Regény	1810	1854	M	viaf:121393539	1845	1845	2009-11-04	1908	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	199822	NA	NA	long	low	T1
ELTeC-hun	HU01009	HU01009	Petőfi Sándor	A hóhér kötele	1823	1849	M	viaf:59087691	1846	1846	1998-08-31	1993	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	25762	NA	NA	short	high	T1
ELTeC-hun	HU19006	HU19006	Kelmenfy László	Meghasonlott kedély	1815	1851	M	viaf:121426252	1846	1846	2019-01-22	1846	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	68494	NA	NA	medium	low	T1
ELTeC-hun	HU07552	HU07552	Kuthy Lajos	Hazai rejtelmek : Regény	1813	1864	M	viaf:29522559	1846	1846	2009-11-04	1906	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	192692	NA	NA	long	low	T1
ELTeC-hun	HU04774	HU04774	Eötvös József	Magyarország 1514-ben : Regény	1813	1871	M	viaf:64044769	1847	1847	2007-04-26	1972	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	201018	NA	NA	long	high	T1
ELTeC-hun	HU18153	HU18153	Nagy Ignác	Szúnyogok	1810	1854	M	viaf:121393539	1848	1848	2018-05-14	1852	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	47550	NA	NA	short	low	T1
ELTeC-hun	HU02204	HU02204	Jókai Mór	A kétszarvú ember	1825	1904	M	viaf:59084200	1852	1852	2004-11-19	1973	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	32893	NA	NA	short	high	T1
ELTeC-hun	HU10230	HU10230	Jósika Miklós	II. Rákóczi Ferencz : 1852	1794	1865	M	viaf:1972047	1852	1852	2012-01-02	1909	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	238192	NA	NA	long	unspecified	T1
ELTeC-hun	HU07629	HU07629	Podmaniczky Frigyes	Az alföldi vadászok tanyája : Regény	1824	1907	M	viaf:25795116	1854	1854	2009-11-23	1906	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	52303	NA	NA	medium	low	T1
ELTeC-hun	HU05572	HU05572	Jókai Mór	Egy magyar nábob : 1853-54	1825	1904	M	viaf:59084200	1854	1854	2008-01-08	1962	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	139820	NA	NA	long	high	T1
ELTeC-hun	HU00011	HU00011	Vachott Sándorné	Derű és ború	1828	1896	F	NA	1854	1854	2000-01-15	1854	The Google Books Digital Content Store	NA	hu	65112	NA	NA	medium	low	T1
ELTeC-hun	HU00730	HU00730	Kemény Zsigmond	Özvegy és leánya	1814	1875	M	viaf:54141095	1855	1855	2001-08-06	2000	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	88579	NA	NA	medium	high	T1
ELTeC-hun	HU08163	HU08163	Fáy András	Jávor orvos és szolgája, Bakator Ambrus: Szeszélyes regény	1786	1864	M	viaf:17278550	1855	1855	2010-04-07	NA	NA	NA	hu	52587	NA	NA	medium	low	T1
ELTeC-hun	HU01116	HU01116	Vas Gereben	Nagy idők, nagy emberek	1823	1868	M	viaf:36952007	1856	1856	2003-03-01	1886	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	109239	NA	NA	long	low	T1
ELTeC-hun	HU16361	HU16361	Boross Mihály	Vagy idejében vagy soha	1815	1899	M	viaf:121430064	1856	1856	2016-12-20	1856	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	14135	NA	NA	short	low	T1
ELTeC-hun	HU00666	HU00666	Gyulai Pál	Egy régi udvarház utolsó gazdája : Regény	1826	1909	M	viaf:59092543	1857	1857	1998-08-03	1995	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	22682	NA	NA	short	high	T1
ELTeC-hun	HU19018	HU19018	Vachott Sándorné	Margit	1828	1896	F	NA	1857	1857	2020-09-28	1857	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	63890	NA	NA	medium	low	T1
ELTeC-hun	HU01115	HU01115	Vas Gereben	Egy alispán : Magyar korrajz	1823	1868	M	viaf:36952007	1858	1858	2003-05-24	1886	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	90713	NA	NA	medium	low	T1
ELTeC-hun	HU00012	HU00012	Vachott Sándorné	Irma hagyományai	1828	1896	F	NA	1859	1859	2000-01-15	1859	The Google Books Digital Content Store	NA	hu	47321	NA	NA	short	low	T1
ELTeC-hun	HU02143	HU02143	Vas Gereben	A pörös atyafiak : Regény	1823	1868	M	viaf:36952007	1860	1860	2004-10-18	1891	Magyar Elektronikus Könyvtárért Egyesület	NA	hu	70428	NA	NA	medium	low	T2
